302.192, 0.034
306.026, 0.058
313.545, 0.097
320.789, 0.143
329.608, 0.185
339.376, 0.232
349.995, 0.271
355.089, 0.302
363.504, 0.354
370.137, 0.385
378.562, 0.414
392.085, 0.453
402.330, 0.483
414.436, 0.518
438.869, 0.546
459.168, 0.556
471.689, 0.567
486.096, 0.577
510.765, 0.575
528.456, 0.564
539.635, 0.558
551.172, 0.563
562.283, 0.565
573.242, 0.564
581.279, 0.546
586.820, 0.529
598.630, 0.489
616.248, 0.473
637.253, 0.461
658.691, 0.440
674.709, 0.420
696.559, 0.401
715.062, 0.384
739.667, 0.357
757.235, 0.342
775.689, 0.334
796.121, 0.326
828.009, 0.309
849.406, 0.293
866.433, 0.282
886.278, 0.266
907.966, 0.254
927.527, 0.242
945.300, 0.231
965.903, 0.219
985.128, 0.210
1005.550, 0.197
1026.210, 0.186
1047.566, 0.174
1071.246, 0.164
1090.438, 0.154
