Wavelengh (nm),Spectral Radiance (uW/cm2-sr-nm)
350,2.12E+00
360,2.92E+00
370,3.85E+00
380,5.12E+00
390,7.31E+00
400,9.72E+00
450,2.40E+01
500,4.36E+01
555,7.07E+01
600,9.46E+01
654.6,1.22E+02
700,1.43E+02
800,1.76E+02
900,1.91E+02
1050,1.91E+02
1150,1.79E+02
1200,1.62E+02
1300,1.54E+02
1540,1.11E+02
1600,1.02E+02
1700,7.39E+01
2000,3.79E+01
2100,2.33E+01
2300,1.78E+01
2400,1.28E+01
2500,3.61E+01
