Wavelengh (nm),Spectral Radiance (uW/cm2-sr-nm)
697,131.2732555
698,131.5915969
699,131.9180416
700,132.2736502
701,132.6589894
702,133.0439412
703,133.4180707
704,133.7706443
705,134.1273401
706,134.4852317
707,134.8417496
708,135.1856613
709,135.5084954
710,135.8090998
711,136.1142381
712,136.434574
713,136.7716851
714,137.1197123
715,137.427645
716,137.723733
717,138.068107
718,138.411143
719,138.7617966
720,139.1283074
721,139.4528746
722,139.7674985
723,140.0968162
724,140.4778937
725,140.8483562
726,141.1826266
727,141.4544102
728,141.7448871
729,142.0507771
730,142.3629394
731,142.6862611
732,142.9828554
733,143.2401907
734,143.5346968
735,143.8378274
736,144.1413399
737,144.4424853
738,144.7536893
739,145.0653781
740,145.3582588
741,145.6795671
742,146.0134831
743,146.3440244
744,146.5876203
745,146.8524461
746,147.1565978
747,147.4419195
748,147.7153833
749,147.9780307
750,148.2309038
751,148.4998013
752,148.7829661
753,149.0794563
754,149.3891155
755,149.672609
756,149.9246371
757,150.1640867
758,150.4660995
759,150.8161054
760,151.1672296
761,151.4586964
762,151.7166427
763,151.9567621
764,152.1530477
765,152.3672008
766,152.6055868
767,152.8152247
768,153.0459842
769,153.2930107
770,153.5484861
771,153.8290107
772,154.087711
773,154.3088646
774,154.5550898
775,154.8411694
776,155.1532608
777,155.4559088
778,155.6880838
779,155.8989139
780,156.1372521
781,156.33041
782,156.5259046
783,156.7190684
784,156.8355357
785,157.0043766
786,157.2263977
787,157.4828319
788,157.7425608
789,157.9866021
790,158.2032347
791,158.4008072
792,158.5971369
793,158.7974989
794,159.0048163
795,159.1469256
796,159.2818965
797,159.4463158
798,159.6371806
799,159.8086264
800,159.9610233
801,160.1051616
802,160.2920866
803,160.5086231
804,160.7424811
805,160.9882569
806,161.15694
807,161.2717396
808,161.4730431
809,161.6886373
810,161.8997204
811,162.0923321
812,162.275452
813,162.4550865
814,162.6327767
815,162.8115693
816,162.9698802
817,163.073914
818,163.1259341
819,163.2327449
820,163.3492026
821,163.4866151
822,163.6661785
823,163.7988196
824,163.9341334
825,164.0907226
826,164.1984869
827,164.3825539
828,164.5941183
829,164.7167923
830,164.8451054
831,165.0229482
832,165.2540514
833,165.4228223
834,165.5269623
835,165.6048263
836,165.7085211
837,165.8075928
838,165.9112346
839,166.0079346
