Wavelengh (nm),Spectral Radiance (uW/cm2-sr-nm)
1967,44.1239451
1968,43.87646283
1969,43.63739686
1970,43.41445334
1971,43.20969998
1972,43.01571979
1973,42.82643555
1974,42.62991524
1975,42.41279174
1976,42.17024944
1977,41.91516916
1978,41.65844152
1979,41.40483138
1980,41.1638418
1981,40.94563992
1982,40.74102698
1983,40.53346299
1984,40.31974529
1985,40.1024092
1986,39.88264926
1987,39.65960507
1988,39.43419772
1989,39.20691894
1990,38.97968878
1991,38.75632067
1992,38.53594444
1993,38.31035677
1994,38.06996393
1995,37.80985169
1996,37.53364938
1997,37.25276747
1998,36.97417339
1999,36.70502852
2000,36.45270114
2001,36.22428453
2002,36.01483396
2003,35.81457897
2004,35.61138135
2005,35.39408751
2006,35.15677218
2007,34.89891451
2008,34.62234423
2009,34.33937691
2010,34.07044204
2011,33.82955882
2012,33.6071538
2013,33.38833038
2014,33.16917943
2015,32.94652018
2016,32.71621445
2017,32.48168244
2018,32.25074787
2019,32.02990124
2020,31.8231834
2021,31.63333967
2022,31.44980105
2023,31.26683224
2024,31.08136432
2025,30.88290147
2026,30.65655513
2027,30.40650895
2028,30.1504385
2029,29.90513605
2030,29.68380913
2031,29.49915108
2032,29.34992298
2033,29.22696033
2034,29.10392756
2035,28.95499511
2036,28.7758019
2037,28.57899579
2038,28.37382786
2039,28.16564843
2040,27.96452696
2041,27.77602185
2042,27.60152767
2043,27.44225161
2044,27.29905895
2045,27.17084701
2046,27.05969403
2047,26.96184127
2048,26.86392365
2049,26.75837486
2050,26.65468887
2051,26.56176739
2052,26.47018545
2053,26.37843387
2054,26.28849712
2055,26.18912712
2056,26.05710915
2057,25.89760556
2058,25.7320356
2059,25.57907596
2060,25.45039977
2061,25.35611314
2062,25.2890885
2063,25.23454035
2064,25.1753073
2065,25.09281061
2066,24.98502038
2067,24.86925037
2068,24.75328478
2069,24.6323035
2070,24.50561861
2071,24.38333948
2072,24.26653182
2073,24.15204616
2074,24.0364833
2075,23.91682884
2076,23.79076851
2077,23.66726499
2078,23.55694471
2079,23.46609992
2080,23.39890872
2081,23.35925778
2082,23.33446728
2083,23.30625819
2084,23.25851583
2085,23.17756321
2086,23.05424605
2087,22.89985474
2088,22.73172304
2089,22.56838423
2090,22.42564675
2091,22.31434131
2092,22.22688048
2093,22.14824796
2094,22.06235051
2095,21.9581701
2096,21.8339401
2097,21.69739882
2098,21.5592847
2099,21.43255061
2100,21.32875494
2101,21.24910491
2102,21.18072733
2103,21.11049032
2104,21.02328629
2105,20.90264112
2106,20.7450245
2107,20.568201
2108,20.3879277
2109,20.21917314
2110,20.08125076
2111,19.98395795
2112,19.91155251
2113,19.84695574
2114,19.780222
2115,19.69841988
2116,19.58778204
2117,19.45669044
2118,19.32054366
2119,19.18896681
2120,19.07219506
2121,18.98175107
2122,18.91042307
2123,18.84819506
2124,18.78899858
2125,18.72774859
2126,18.65679323
2127,18.57559959
2128,18.48364515
2129,18.38227694
2130,18.2792951
2131,18.17946034
2132,18.08237863
2133,17.99021802
2134,17.91170648
2135,17.84889909
2136,17.80290891
2137,17.77597897
2138,17.7702617
2139,17.78106161
2140,17.79739453
2141,17.81086602
2142,17.82134298
2143,17.82984148
2144,17.83312976
2145,17.83156673
2146,17.83022719
2147,17.83380582
2148,17.83561935
2149,17.83529845
2150,17.85239751
2151,17.90470692
2152,17.98338373
2153,18.07915421
2154,18.18524675
2155,18.29031229
2156,18.38158509
2157,18.46310331
2158,18.54142805
2159,18.62141058
2160,18.71060252
2161,18.81848869
2162,18.9445894
2163,19.08132967
2164,19.22163022
2165,19.36233273
2166,19.49976898
2167,19.63262002
2168,19.76484772
2169,19.90227725
2170,20.04608652
2171,20.19135285
2172,20.33325574
2173,20.46866218
2174,20.58929272
2175,20.69009303
2176,20.77773158
2177,20.86174114
2178,20.94668132
2179,21.04629326
2180,21.16809961
2181,21.31170088
2182,21.47222037
2183,21.64677588
2184,21.82512015
2185,22.00337752
2186,22.17679009
2187,22.34031625
2188,22.49298773
2189,22.63469217
2190,22.76299001
2191,22.87860451
2192,22.98503993
2193,23.08150665
2194,23.16800414
2195,23.24571035
2196,23.3137904
2197,23.3726856
2198,23.42753475
2199,23.48401239
2200,23.54546374
2201,23.61644575
2202,23.69823912
2203,23.78264618
2204,23.85742861
2205,23.91243832
2206,23.94238775
2207,23.95117344
2208,23.94533838
2209,23.93249339
2210,23.92041939
2211,23.9140558
2212,23.91232713
2213,23.91526665
2214,23.92087586
2215,23.92683296
2216,23.93300948
2217,23.9364064
2218,23.93314929
2219,23.92026936
2220,23.89439854
2221,23.85315132
2222,23.80093034
2223,23.74050718
2224,23.67903548
2225,23.62361942
2226,23.57587192
2227,23.53374423
2228,23.49656601
2229,23.46143862
2230,23.42536077
2231,23.38765012
2232,23.34674689
2233,23.30179543
2234,23.24677032
2235,23.175942
2236,23.0899387
2237,22.99378451
2238,22.88997211
2239,22.7891776
2240,22.70206491
2241,22.62901211
2242,22.56525139
2243,22.51074806
2244,22.45421043
2245,22.38377834
2246,22.30151804
2247,22.21221042
2248,22.11248729
2249,22.01147364
2250,21.92020688
2251,21.83284027
2252,21.73907502
2253,21.64096938
2254,21.54258712
2255,21.44667226
2256,21.35395473
2257,21.26210157
2258,21.17015866
2259,21.0784398
2260,20.98576607
2261,20.89228573
2262,20.7990201
2263,20.70414351
2264,20.61066611
2265,20.52105255
2266,20.43135502
2267,20.33858883
2268,20.24630986
2269,20.15298566
2270,20.05847293
2271,19.96789913
2272,19.88374725
2273,19.80351641
2274,19.72544289
2275,19.64841997
2276,19.5696225
2277,19.48566874
2278,19.3981782
2279,19.31353277
2280,19.23307455
2281,19.1518285
2282,19.0687361
2283,18.98370777
2284,18.89096809
2285,18.78965204
2286,18.68813357
2287,18.59034599
2288,18.49464616
2289,18.40182254
2290,18.3119393
2291,18.22355496
2292,18.1328228
2293,18.04194985
2294,17.9545234
2295,17.86676222
2296,17.77551774
2297,17.68490861
2298,17.59550222
2299,17.50768693
2300,17.42759495
2301,17.36023066
2302,17.3042582
2303,17.25335417
2304,17.20328647
2305,17.15064718
2306,17.08956891
2307,17.01982486
2308,16.94999675
2309,16.88217075
2310,16.81403384
2311,16.7451731
2312,16.67519512
2313,16.60096047
2314,16.52138254
2315,16.43909434
2316,16.35734067
2317,16.27358701
2318,16.18228237
2319,16.08488846
2320,15.98215499
2321,15.87073754
2322,15.7596639
2323,15.66126278
2324,15.57264416
2325,15.49156352
2326,15.41830968
2327,15.34844172
2328,15.27684546
2329,15.20114672
2330,15.12029207
2331,15.03251181
2332,14.9323802
2333,14.82522832
2334,14.72050616
2335,14.62361469
2336,14.54159846
2337,14.47928552
2338,14.42890587
2339,14.37494284
2340,14.30473976
2341,14.21595774
2342,14.11737347
2343,14.01770867
2344,13.9315819
2345,13.86975936
2346,13.83352772
2347,13.81404974
2348,13.80003533
2349,13.77424175
2350,13.7258627
2351,13.65558179
2352,13.57474955
2353,13.49458975
2354,13.42830517
2355,13.38894936
2356,13.38052871
2357,13.39126005
2358,13.40829957
2359,13.41594587
2360,13.39908242
2361,13.34965261
2362,13.27615496
2363,13.19274213
2364,13.11469574
2365,13.05231685
2366,13.01296351
2367,12.9929864
2368,12.98378916
2369,12.97453259
2370,12.9602329
2371,12.93516294
2372,12.89918569
2373,12.85866668
2374,12.82096614
2375,12.79119433
2376,12.77550978
2377,12.7709161
2378,12.7697483
2379,12.76412038
2380,12.74778787
2381,12.71259555
2382,12.65886285
2383,12.59480102
2384,12.52797922
2385,12.46476787
2386,12.4125265
2387,12.36948652
2388,12.33255242
2389,12.30000595
2390,12.26717145
2391,12.23313007
2392,12.20047196
2393,12.17019671
2394,12.144405
2395,12.12775709
2396,12.12285688
2397,12.12706471
2398,12.13888976
2399,12.1557779
2400,12.16551655
